Year,Make,Model,Body,Category,0-60,Top Speed,Rating,0_60_sec,TopSpeed_mph
1947-1950,Maserati,A6GCS 'Monofaro',Open,Sports-Rac...,7.5 secs,120mph,71.0,7.5,120.0
1953-1955,Maserati,A6GCS Twin-Cam,"Coupe, Ope...",Sports-Rac...,6.0 secs,140mph,80.0,6.0,140.0
1954-1957,Maserati,250F,Single Sea...,Formula 1,5.0 secs,160mph,80.0,5.0,160.0
1954-1957,Maserati,A6G54,Convertibl...,Grand Tour...,10.5 secs,130mph,78.0,10.5,130.0
1955-1957,Maserati,150S,Open,Sports-Rac...,7.0 secs,138mph,74.0,7.0,138.0
1955-1957,Maserati,200S,Open,Sports-Rac...,6.0 secs,150mph,76.0,6.0,150.0
1955-1959,Maserati,300S,Open,Sports-Rac...,5.5 secs,160mph,85.0,5.5,160.0
1956-1958,Maserati,450S,Open,Sports-Rac...,5.0 secs,168mph,85.0,5.0,168.0
1957-1964,Maserati,3500 GT,Coupe,Grand Tour...,8.0 secs,129mph,64.0,8.0,129.0
1959-1961,Maserati,Tipo 60/61 'Birdcage'...,Convertibl...,Sports-Rac...,5.0 secs,160mph,78.0,5.0,160.0
1959-1964,Maserati,3500 GT Vignale Spyder,Convertibl...,Grand Tour...,8.0 secs,129mph,71.0,8.0,129.0
1959-1964,Maserati,5000 GT,Coupe,Grand Tour...,7.0 secs,172.4mph,75.0,7.0,172.4
1962-1968,Maserati,Sebring,Coupe,Grand Tour...,7.5 secs,146-158mph,64.0,7.5,146.0
1963-1969,Maserati,Quattroporte,Saloon,Wolf in Sh...,8.7 secs,130-140mph,30.0,8.7,130.0
1963-1970,Maserati,Mistral,Coupe,Grand Tour...,8.3 secs,155mph,55.0,8.3,155.0
1964-1970,Maserati,Mistral Spyder,Convertibl...,Grand Tour...,8.6 secs,150mph,69.0,8.6,150.0
1965-1972,Maserati,Mexico,Coupe,Grand Tour...,7.2 secs,148mph,35.0,7.2,148.0
1966-1973,Maserati,Ghibli Coupé,Coupe,Grand Tour...,6.8 secs,154mph,56.0,6.8,154.0
1969-1972,Maserati,Ghibli Spyder,Convertibl...,Grand Tour...,7.0 secs,145mph,73.0,7.0,145.0
1969-1974,Maserati,Indy,Coupe,Grand Tour...,7.5 secs,152mph,35.0,7.5,152.0
1971-1978,Maserati,Bora,Coupe,Grand Tour...,6.5 secs,162mph,55.0,6.5,162.0
1972-1976,Maserati,Merak,Coupe,Grand Tour...,9.0 secs,135mph,33.0,9.0,135.0
1974-1982,Maserati,Khamsin,Coupe,Grand Tour...,8.1 secs,160mph,45.0,8.1,160.0
1981-1994,Maserati,Biturbo,"Coupe, Sal...",Popular Cl...,6.5 secs,135mph,15.0,6.5,135.0
2004-2005,Maserati,MC12,Coupe,Hypercar,3.8 secs,205mph,69.0,3.8,205.0
1962-1968,Matra,Djet,Coupe,Popular Cl...,11.0 secs,103/118mph,33.0,11.0,103.0
1972-1974,Matra,MS670,Open,Sports-Rac...,3.2 secs,205mph,79.0,3.2,205.0
1973-1980,Matra,Bagheera,Coupe,Popular Cl...,12.2 secs,116mph,30.0,12.2,116.0
1978-1985,Mazda,RX7,Coupe,Popular Cl...,7.0 secs,120mph,16.0,7.0,120.0
1990-1998,Mazda,MX-5 NA,Convertibl...,Popular Cl...,8.1 secs,126mph,15.0,8.1,126.0
1965-1965,McLaren,M1A,Open,Sports-Rac...,4.5 secs,160mph,72.0,4.5,160.0
1994-1998,McLaren,F1,Coupe,Hypercar,3.2 secs,242.95mph,95.0,3.2,242.95
2013-2015,McLaren,P1,Coupe,Hypercar,2.8 secs,217mph,80.0,2.8,217.0
1927-1928,Mercedes-Benz,36/220 S-Type,Coachbuilt,Grand Tour...,15.0 secs,110mph,77.0,15.0,110.0
1928-1932,Mercedes-Benz,SSK,Coachbuilt,Grand Tour...,13.0 secs,125mph,95.0,13.0,125.0
1930-1943,Mercedes-Benz,770 K,Coachbuilt,Dictators ...,23.0 secs,106mph,76.0,23.0,106.0
1933-1934,Mercedes-Benz,380 K,Coachbuilt,Grand Tour...,18.0 secs,85mph,68.0,18.0,85.0
1934-1936,Mercedes-Benz,500 K,Coachbuilt,Grand Tour...,16.0 secs,100mph,74.0,16.0,100.0
1936-1940,Mercedes-Benz,540 K,Coachbuilt,Grand Tour...,15.0 secs,106mph,75.0,15.0,106.0
1954-1957,Mercedes-Benz,300 SL 'Gullwing',Coupe,Grand Tour...,7.6 secs,160mph,75.0,7.6,160.0
1955-1955,Mercedes-Benz,300 SLR Coupé,Coupe,Grand Tour...,6.9 secs,176.47mph,100.0,6.9,176.47
1955-1956,Mercedes-Benz,300 SL 'Gullwing' Al...,Coupe,Grand Tour...,7.3 secs,162mph,80.0,7.3,162.0
1955-1963,Mercedes-Benz,190 SL,Convertibl...,Grand Tour...,13.0 secs,110mph,40.0,13.0,110.0
1957-1963,Mercedes-Benz,300 SL Roadster,Convertibl...,Grand Tour...,7.6 secs,150mph,73.0,7.6,150.0
1963-1967,Mercedes-Benz,230 SL 'Pagoda',Convertibl...,Grand Tour...,10.5 secs,120mph,35.0,10.5,120.0
1963-1981,Mercedes-Benz,600,Limousine,Dictators ...,9.7 secs,125mph,40.0,9.7,125.0
1966-1968,Mercedes-Benz,250 SL 'Pagoda',Convertibl...,Grand Tour...,10.5 secs,120mph,37.0,10.5,120.0
1968-1971,Mercedes-Benz,280 SL 'Pagoda',Convertibl...,Grand Tour...,9.0 secs,124mph,40.0,9.0,124.0
1968-1972,Mercedes-Benz,300 SEL 6.3,Saloon,Getaway Ca...,6.5 secs,137mph,39.0,6.5,137.0
1969-1971,Mercedes-Benz,280 SE 3.5 Cabriolet,Convertibl...,Grand Tour...,9.5 secs,127mph,56.0,9.5,127.0
1971-1981,Mercedes-Benz,450 SLC,Coupe,Popular Cl...,9.0 secs,130mph,35.0,9.0,130.0
1975-1981,Mercedes-Benz,450 SEL 6.9,Saloon,Dictators ...,7.3 secs,145mph,36.0,7.3,145.0
1977-1985,Mercedes-Benz,280 TE,Station Wa...,Popular Cl...,9.9 secs,125mph,15.0,9.9,125.0
1979-1993,Mercedes-Benz,G Wagen,Off Road/ ...,Popular Cl...,16.6 secs,90mph,20.0,16.6,90.0
1983-1993,Mercedes-Benz,190 E 2.3-16,Saloon,Getaway Ca...,7.8 secs,143mph,33.0,7.8,143.0
1985-1991,Mercedes-Benz,500 SEC,Coupe,Popular Cl...,7.3 secs,146mph,20.0,7.3,146.0
1990-1994,Mercedes-Benz,500 E,Saloon,Popular Cl...,5.5 secs,162mph,36.0,5.5,162.0
1998-1999,Mercedes-Benz,CLK-GTR,Convertibl...,Hypercar,3.8 secs,199mph,80.0,3.8,199.0
2003-2010,Mercedes-Benz,SLR McLaren,Coupe,Supercar,3.4 secs,208mph,45.0,3.4,208.0
1956-1964,Messerschmitt,KR,Saloon,Microcar,-,58mph,35.0,,58.0
1933-1934,MG,K3,Open,"Pre-War, S...",14.0 secs,110mph,78.0,14.0,110.0
1945-1950,MG,TC,Convertibl...,Popular Cl...,22.7 secs,80mph,35.0,22.7,80.0
1955-1962,MG,A,Convertibl...,Popular Cl...,13.3 secs,105mph,30.0,13.3,105.0
1961-1980,MG,Midget,Convertibl...,Popular Cl...,10.8 secs,95.0mph,18.0,10.8,95.0
1962-1980,MG,B,Convertibl...,Popular Cl...,11.0 secs,106mph,20.0,11.0,106.0
1967-1969,MG,C,Convertibl...,Popular Cl...,9.8 secs,126mph,28.0,9.8,126.0
1985-1987,MG,Metro 6R4,Saloon,"Group B, R...",3.2 secs,125mph,44.0,3.2,125.0
1909-1952,Morgan,Three Wheeler,Convertibl...,Popular Cl...,12.0 secs,80mph,38.0,12.0,80.0
1950-present,Morgan,Plus 4,Convertibl...,Popular Cl...,9.7 secs,100mph,28.0,9.7,100.0
1968-2004,Morgan,Plus 8,Convertibl...,Popular Cl...,6.7 secs,124mph,36.0,6.7,124.0
1948-1971,Morris,Minor,Convertibl...,Popular Cl...,18.0 secs,73mph,28.0,18.0,73.0
1950-1954,Nash-Healey,Roadster,Convertibl...,Grand Tour...,10.0 secs,115mph,38.0,10.0,115.0
1969-1973,Nissan,Datsun 240Z,Coupe,Popular Cl...,8.0 secs,125mph,35.0,8.0,125.0
1940-1945,NSU,Kettenkrad,Off Road/ ...,Military V...,-,50mph,60.0,,50.0
1961-1973,NSU,Prinz,Saloon,Popular Cl...,12.0 secs,99.0mph,22.0,12.0,99.0
1923-1934,OM,665 Superba,Convertibl...,Grand Tour...,18.0 secs,90mph,64.0,18.0,90.0
1968-1973,Opel,GT,Coupe,Popular Cl...,10.8 secs,114mph,28.0,10.8,114.0
1948-1956,OSCA,MT-4,"Coupe, Ope...",Sports-Rac...,8.5 secs,132mph,72.0,8.5,132.0
1960-1963,OSCA,1600 GT,Coupe,Sports-Rac...,9.9 secs,125mph,58.0,9.9,125.0
1972-1981,Panther,J72,Convertibl...,Film Star,6.5 secs,120mph,35.0,6.5,120.0
1974-1985,Panther,De Ville,Convertibl...,Film Star,12.0 secs,110mph,35.0,12.0,110.0
1977-1978,Panther,Six,Convertibl...,-,6.0 secs,200+mph,65.0,6.0,200.0
1951-1958,Pegaso,Z-102,Convertibl...,Grand Tour...,10.2 secs,120-150mph,72.0,10.2,120.0
1969-1982,Peugeot,504 Cabriolet,Convertibl...,Popular Cl...,11.0 secs,116mph,33.0,11.0,116.0
1984-1984,Peugeot,205 Turbo 16,Saloon,Rally,6.0 secs,130mph,45.0,6.0,130.0
1984-1994,Peugeot,205 GTI,Saloon,Popular Cl...,8.7 secs,118-127mph,22.0,8.7,118.0
1970-1970,Plymouth,Road Runner Superbird,Saloon,Muscle,5.5 secs,160mph,73.0,5.5,160.0
1968-1970,Pontiac,GTO Judge,Coupe,Muscle,6.2 secs,130mph,50.0,6.2,130.0
1951-1955,Porsche,356 'Pre-A',Coupe,Grand Tour...,15.4 secs,90-111mph,58.0,15.4,90.0
1951-1955,Porsche,356 'Pre-A' Converti...,Convertibl...,Grand Tour...,17.0 secs,90.0mph,60.0,17.0,90.0
1953-1955,Porsche,550 Spyder,Open,Sports-Rac...,8.0 secs,140mph,80.0,8.0,140.0
1954-1958,Porsche,356 Speedster,Convertibl...,Grand Tour...,10.8 secs,105-110mph,63.0,10.8,105.0
1955-1965,Porsche,356A-C Convertible,Convertibl...,Grand Tour...,13.0 secs,105-110mph,55.0,13.0,105.0
1955-1965,Porsche,356A-C Coupé,Coupe,Grand Tour...,11.0 secs,110-114mph,48.0,11.0,110.0
1956-1959,Porsche,356 Carrera,Convertibl...,Grand Tour...,11.0 secs,115mph,65.0,11.0,115.0
1963-1965,Porsche,904,Coupe,Sports-Rac...,5.5 secs,165mph,75.0,5.5,165.0
1963-1969,Porsche,911 2.0,Convertibl...,Grand Tour...,9.1 secs,130mph,53.0,9.1,130.0
1965-1969,Porsche,912,Coupe,Grand Tour...,12.0 secs,115-120mph,33.0,12.0,115.0
1966-1967,Porsche,906,Coupe,Sports-Rac...,5.0 secs,168mph,70.0,5.0,168.0
1966-1967,Porsche,910,Coupe,Sports-Rac...,4.8 secs,175mph,72.0,4.8,175.0
1967-1968,Porsche,907,Coupe,Sports-Rac...,4.6 secs,190mph,75.0,4.6,190.0
1968-1971,Porsche,908,"Coupe, Ope...",Sports-Rac...,4.2 secs,200mph,78.0,4.2,200.0
1969-1971,Porsche,911 2.2,Convertibl...,Grand Tour...,8.0 secs,127-143mph,53.0,8.0,127.0
1969-1971,Porsche,917K,Coupe,"Film Star,...",3.5 secs,240mph,88.0,3.5,240.0
1970-1972,Porsche,914/6,Convertibl...,Grand Tour...,8.7 secs,128mph,48.0,8.7,128.0
1972-1973,Porsche,911 2.4,Convertibl...,Grand Tour...,7.9 secs,140mph,55.0,7.9,140.0
1972-1973,Porsche,911 Carrera RS 2.7,Coupe,Grand Tour...,5.8 secs,152mph,68.0,5.8,152.0
1973-1973,Porsche,911 Carrera RSR 2.8,Coupe,Sports-Rac...,5.6 secs,160mph,76.0,5.6,160.0
1973-1974,Porsche,911 Carrera RS 3.0,Coupe,Grand Tour...,5.2 secs,158mph,71.0,5.2,158.0
1975-1977,Porsche,911 Turbo 3.0,Coupe,Supercar,4.9 secs,156mph,53.0,4.9,156.0
1981-1981,Porsche,924 Carrera GT,Coupe,Grand Tour...,6.9 secs,150mph,58.0,6.9,150.0
1987-1988,Porsche,959,Coupe,Supercar,3.6 secs,195mph,70.0,3.6,195.0
1987-1989,Porsche,911 Speedster,Convertibl...,Grand Tour...,6.0 secs,150mph,52.0,6.0,150.0
1989-1993,Porsche,911 (964),Convertibl...,Grand Tour...,5.7 secs,161mph,30.0,5.7,161.0
1991-1992,Porsche,911 (964) Carrera RS,Coupe,Grand Tour...,5.4 secs,162mph,45.0,5.4,162.0
1993-1998,Porsche,911 (993),Convertibl...,Grand Tour...,5.4 secs,171mph,31.0,5.4,171.0
1995-1996,Porsche,911 (993) Carrera RS,Coupe,Grand Tour...,5.0 secs,172mph,50.0,5.0,172.0
1995-1997,Porsche,911 (993) Turbo,Coupe,Grand Tour...,4.4 secs,180mph,54.0,4.4,180.0
1995-1998,Porsche,GT2,Coupe,Supercar,3.9 secs,187mph,65.0,3.9,187.0
1996-1998,Porsche,GT1,Coupe,Hypercar,3.7 secs,205mph,80.0,3.7,205.0
2004-2007,Porsche,Carrera GT,Convertibl...,Supercar,3.9 secs,205mph,65.0,3.9,205.0
2013-2015,Porsche,918 Spyder,"Coupe, Ope...",Hypercar,2.6 secs,214mph,81.0,2.6,214.0
1980-1984,Renault,5 Turbo,Saloon,Rally,6.6 secs,120mph,47.0,6.6,120.0
1907-1918,Rolls-Royce,Silver Ghost Pre-WW1,Coachbuilt,"Pre-War, V...",20.0 secs,50-80mph,80.0,20.0,50.0
1918-1926,Rolls-Royce,Silver Ghost Post-WW1,Coachbuilt,Pre-War,20.0 secs,78mph,45.0,20.0,78.0
1922-1929,Rolls-Royce,Twenty,Coachbuilt,Grand Tour...,19.4 secs,62mph,35.0,19.4,62.0
1925-1939,Rolls-Royce,Phantom I-III,Coachbuilt,Grand Tour...,16.8 secs,91mph,39.0,16.8,91.0
1929-1936,Rolls-Royce,20/25,Coachbuilt,Grand Tour...,28.0 secs,75mph,38.0,28.0,75.0
1939-1959,Rolls-Royce,Wraith,Convertibl...,Grand Tour...,16.8 secs,105mph,40.0,16.8,105.0
1955-1966,Rolls-Royce,Silver Cloud,Saloon,Popular Cl...,13.0 secs,106-117mph,39.0,13.0,106.0
1959-1992,Rolls-Royce,Phantom V-VI,Limousine,Grand Tour...,13.0 secs,101mph,40.0,13.0,101.0
1971-1995,Rolls-Royce,Corniche,Convertibl...,Grand Tour...,10.0 secs,122mph,45.0,10.0,122.0
1975-1986,Rolls-Royce,Camargue,Coupe,Grand Tour...,9.5 secs,123mph,45.0,9.5,123.0
1967-1973,Rover,P5B 3.5,Saloon,Popular Cl...,11.5 secs,115mph,15.0,11.5,115.0
1978-1993,SAAB,900 Turbo,Convertibl...,Popular Cl...,8.5 secs,135mph,20.0,8.5,135.0
1965-1967,Shelby,Mustang GT350,Coupe,Grand Tour...,6.5 secs,130mph,65.0,6.5,130.0
1967-1970,Shelby,Mustang GT500,Convertibl...,Grand Tour...,5.5 secs,130mph,50.0,5.5,130.0
1951-1955,Siata,Daina,Convertibl...,Grand Tour...,19.0 secs,86mph,45.0,19.0,86.0
1952-1954,Siata,208,Convertibl...,Grand Tour...,14.0 secs,118mph,66.0,14.0,118.0
1962-1964,Studebaker,Avanti,Coupe,Popular Cl...,7.5 secs,150mph,30.0,7.5,150.0
1959-1968,Sunbeam,Alpine,Convertibl...,Popular Cl...,13.6 secs,99.5mph,30.0,13.6,99.5
1964-1967,Sunbeam,Tiger,Convertibl...,Popular Cl...,9.4 secs,117 - 125mph,35.0,9.4,117.0
1979-1983,Talbot,Sunbeam Lotus,Saloon,Popular Cl...,7.5 secs,125mph,32.0,7.5,125.0
1936-1939,Talbot-Lago,T150 SS Teardrop,Coachbuilt,Grand Tour...,17.0 secs,115mph,85.0,17.0,115.0
1947-1950,Talbot-Lago,T26 Lago Record Cabriolet,Convertibl...,Grand Tour...,15.0 secs,108mph,50.0,15.0,108.0
1936-1938,Tatra,T77,Saloon,-,18.0 secs,95mph,60.0,18.0,95.0
1964-1984,Toyota,FJ 40 Land Cruiser,Off Road/ ...,Popular Cl...,15.5 secs,97mph,25.0,15.5,97.0
1967-1970,Toyota,2000 GT,Coupe,Grand Tour...,9.9 secs,128mph,66.0,9.9,128.0
1953-1955,Triumph,TR2,Convertibl...,Popular Cl...,11.9 secs,105mph,36.0,11.9,105.0
1955-1962,Triumph,TR3,Convertibl...,Popular Cl...,11.4 secs,110mph,36.0,11.4,110.0
1961-1967,Triumph,TR4,Convertibl...,Popular Cl...,11.4 secs,109mph,33.0,11.4,109.0
1962-1980,Triumph,Spitfire,Convertibl...,Popular Cl...,16.2 secs,90-100mph,20.0,16.2,90.0
1967-1968,Triumph,TR5,Convertibl...,Popular Cl...,8.1 secs,117mph,34.0,8.1,117.0
1969-1976,Triumph,TR6,Convertibl...,Popular Cl...,8.2 secs,120mph,32.0,8.2,120.0
1970-1977,Triumph,Stag,Convertibl...,Popular Cl...,9.0 secs,120mph,28.0,9.0,120.0
1973-1980,Triumph,Dolomite Sprint,Saloon,Popular Cl...,8.4 secs,119mph,32.0,8.4,119.0
1947-1948,Tucker,Torpedo,Saloon,Film Star,10.0 secs,119mph,70.0,10.0,119.0
1958-1967,TVR,Grantura,Coupe,Popular Cl...,10.0 secs,111mph,35.0,10.0,111.0
1963-1965,TVR,Griffith,Coupe,Popular Cl...,6.9 secs,140mph,38.0,6.9,140.0
1989-1993,Vector,W8,Coupe,Supercar,4.2 secs,220mph,60.0,4.2,220.0
1940-1945,Volkswagen,Kübelwagen,Off Road/ ...,Military V...,-,50mph,40.0,,50.0
1945-1953,Volkswagen,Beetle,Saloon,Popular Cl...,47.0 secs,66mph,12.0,47.0,66.0
1950-1967,Volkswagen,Microbus,Saloon,Family Car...,-,-,35.0,,
1955-1974,Volkswagen,Karmann Ghia,Coupe,Popular Cl...,23.0 secs,74-87mph,15.0,23.0,74.0
1976-1983,Volkswagen,Golf GTI Mk1,Saloon,Popular Cl...,8.8 secs,113mph,20.0,8.8,113.0
1961-1973,Volvo,P1800,Coupe,"Film Star,...",10.0 secs,104-115mph,25.0,10.0,104.0
1936-1938,Wanderer,W25,Coachbuilt,Grand Tour...,22.0 secs,60-90mph,42.0,22.0,60.0
